channel_id,last_date,status
UCvLUZXuh34dJYzg3UpnOLzw,2019-12-18 20:03:10,to do
UCVyQ4ilCQ_B63Lz_893PGDw,2019-12-18 20:07:34,to do
UCgnGMvv6aeuVKlsewuxu-vw,2019-12-18 20:08:10,to do
UCuUL13ETm_8sR03Q1IC1l6g,2019-12-18 20:26:37,to do
UCXMy_jJwR82VmmZwh6mbYbg,2019-12-18 20:27:12,to do
UC8wKG7ylM7L0LAdofatXBaw,2019-12-18 20:33:26,to do
UCN2qOayfrIqFIHRyqV1UOvQ,2019-12-18 20:34:24,to do
UC0d0P6qg3bjaSEVonvCCA8g,2019-12-18 21:07:34,to do
UCJnoRo2qexJSqG4_p7mh83Q,2019-12-18 21:10:44,to do
UCkzquDOGz11tmXVE86v_bqQ,2019-12-18 22:07:13,to do
UCBNDq0lChMmOYneoiRXLD2w,2019-12-18 23:22:06,to do
UCkzef9u0H9rQbgScH37zTkA,2019-12-18 23:58:12,to do
UCmMppIfyNFzOBAod8BdNSJQ,2019-12-19 01:00:57,to do
UCkSc_T_9BYydJp5UTesjHzw,2019-12-19 01:23:20,to do
UCtow2M3VYX9AVaj_AcGdH0Q,2019-12-19 01:38:25,to do
UCjsuIwGVcbyMU60tqrOXVVQ,2019-12-19 01:50:13,to do
UCiOB9tCMBcBcUjmEPWSbsmQ,2019-12-19 02:05:37,to do
UCD_LpYW0feUNkKM0zF19zMw,2019-12-19 02:39:10,to do
UCztNWFOd5hvLj3qXx3sq_iA,2019-12-19 02:57:05,to do
UC4zoRs97MXU3y8hyImbPz8Q,2019-12-19 03:17:47,to do
UCBYOJB0aaN9zXAR2-thQDdw,2019-12-19 04:06:23,to do
UCGICcbDQGXNfKar40aDvFXw,2019-12-19 04:20:45,to do
UCQz5D019Nrx10iZ54k0hISw,2019-12-19 04:38:42,to do
UCXrFE_R4kHw02eMdoKU_Ezw,2019-12-19 04:57:22,to do
UCwblFdv1RKw_Xa0kHxcNBRQ,2019-12-19 05:02:07,to do
UCePLML9taJYjoDrYohkEr6Q,2019-12-19 05:23:51,to do
UC8ubFhY_Ku0JkukYgz5sSgw,2019-12-19 05:35:56,to do
UCdDDRin08kjpKn4ehIjlxow,2019-12-19 05:49:16,to do
UCD9bjH9eH43SXf24XdVRPqw,2019-12-19 05:50:29,to do
UCo6CWGOfDeNTmpATA-k2tSA,2019-12-19 05:53:32,to do
UClA2Uduow0RCsp1QfSl8N7g,2019-12-19 06:13:05,to do
UCpu7hTlzAJUD-_PjjiBZCZg,2019-12-19 06:14:04,to do
UC_iEQN96g3ivEUZ6H6LNaag,2019-12-19 06:14:04,to do
UCb6xS36YuxELQIdwiEYEKYA,2019-12-19 06:14:44,to do
UC3RYy7GbMHDvPQGCdAh3H5g,2019-12-19 06:16:04,to do
UCDal3YVC-gRJjNiyNFAh_vA,,to do
UCkggcB4wg1ba7st3uvFCyXQ,2019-12-19 06:30:36,to do
UCxJJvD8c0hhgreClboWUAXQ,2019-12-19 06:38:28,to do
UChZCfUYapvjMKJ3VeyZ8YwQ,2019-12-19 06:42:45,to do
UCZPUipsVQuj_jR5pnfrKKpg,2019-12-19 06:47:40,to do
UCtcxQzLZzAaHax7HU2RKSzA,2019-12-19 06:49:59,to do
UCBLP5G-rMpRTpcQRguPVFiw,2019-12-19 06:53:41,to do
UCeRZBESc9p7hMqWv4AIbcDw,2019-12-19 06:55:15,to do
UCiIfvIjvHGur2SlTHn5o5lQ,2019-12-19 07:02:28,to do
UCkrULMpJd04PEtr0fvhjDKw,2019-12-19 07:25:23,to do
UCcAPXqP7n5sdGqywAsZKhqw,2019-12-19 07:39:04,to do
UCau9ZBF9vN8sNSc9fkbH3xg,2019-12-19 07:59:17,to do
UCxNrvpCJJrHw6AR1v7TMGuQ,2019-12-19 08:12:33,to do
UCJCen5xxTtU7cnVHe3n424A,2019-12-19 08:17:48,to do
UCi5IN0zOIgqY1IsjLMEN7Rg,2019-12-19 08:40:52,to do
UCCEmjNPpJYhGDgaEqeeA4HA,2019-12-19 08:41:35,to do
UCWBhW9gn-NVqq2XULd-YN1w,2019-12-19 08:54:48,to do
UCnVklEzqr1qM-XIjEvWJqDg,2019-12-19 08:57:53,to do
UCgwqIJ1iCyIe49CPUe6iqfQ,2019-12-19 09:06:52,to do
UCrtpqtb-hsNEUDan_WhW0ug,2019-12-19 09:06:09,to do
UCSevGR29qfWkc2_Z9C2rR_g,2019-12-19 09:44:17,to do
UC_WoyWJ6cx9LEhGohfPi-3g,2019-12-19 09:52:26,to do
UCU4j3inqOfChKlTlUG1Cm4Q,2019-12-19 10:10:10,to do
UCYcdw2wL6W6iGBKZgGK_Hjw,2019-12-19 10:25:32,to do
UCYGfHb7wxB0QNqZCu6vWOkA,2019-12-19 10:46:57,to do
UCN_n_sm_4iZX6PpE7up10aA,2019-12-19 10:49:48,to do
UCCte1dGdRGfzZXbnoUOWmcQ,2019-12-19 11:17:06,to do
UCC2jb73HlXTa1qZERns7Snw,2019-12-19 11:49:21,to do
UCu0JMa2yCCHcPThx1Hma_wg,2019-12-19 11:51:48,to do
UCWpBYQF-ZuL6FQ05OIL9Yzg,2019-12-19 12:26:42,to do
UCJTT-5fyiHyaNCrQYOx0xsQ,2019-12-19 12:29:15,to do
UChtpOdya2W7F0V9FrVVzQCg,2019-12-19 12:41:20,to do
UCD6tswXpx2_qkZ65fZeX29A,2019-12-19 13:05:46,to do
UCujSEuxY0OieHbm2cNey-JA,2019-12-19 13:34:59,to do
UCxthdekpMin2DTv4i-3AjDg,2019-12-19 14:17:18,to do
UC5cmQL0QsICmyBgtzLYUqlg,2019-12-19 14:18:43,to do
